Date,Adj Close,Rtn,Scaled rtns,,Mean,-4.84162E-05,,,Count,4976
2005/3/4,1.923299,0.008597177,1.432922851,,,,,,,
2005/3/7,1.914902,-0.004365936,-0.7155868,,,,,,,
2005/3/8,1.928603,0.007154935,1.193885333,,,,,,,
2005/3/9,1.922707,-0.003057135,-0.49866584,,,,,,,
2005/3/10,1.923817,0.000577311,0.103708201,,,,,,,
2005/3/11,1.926411,0.001348361,0.231502233,,,,,,,
2005/3/14,1.913802,-0.006545332,-1.076800518,,,,,,,
2005/3/15,1.913217,-0.000305674,-0.04263801,,,,,,,
2005/3/16,1.927302,0.007361946,1.228195312,,,,,,,
2005/3/17,1.925187,-0.001097389,-0.173857013,,,,,,,
2005/3/18,1.922818,-0.00123053,-0.195923807,,,,,,,
2005/3/21,1.895986,-0.013954519,-2.304801002,,,,,,,
2005/3/22,1.885583,-0.005486855,-0.901368209,,,,,,,
2005/3/23,1.870592,-0.007950326,-1.309664585,,,,,,,
2005/3/24,1.86839,-0.001177167,-0.187079513,,,,,,,
2005/3/25,1.871713,0.001778537,0.302799631,,,,,,,
